fips_code,county_name,state,fmr_2bed,vacancy_rate,total_vacant,median_income
1001,Autauga County,AL,977,9.55615942,2208,69841
1003,Baldwin County,AL,1206,31.49132129,33876,75019
1005,Barbour County,AL,740,6.178489703,2622,44290
1007,Bibb County,AL,1075,9.216589862,1519,51215
1009,Blount County,AL,1075,9.303977273,2816,61096
1011,Bullock County,AL,820,5.358764759,1101,36723
1013,Butler County,AL,761,9.616130283,2579,44881
1015,Calhoun County,AL,802,9.354284311,8146,55826
1017,Chambers County,AL,911,6.549202128,3008,49295
1019,Cherokee County,AL,759,1.313903488,4186,50769
1021,Chilton County,AL,755,6.936685289,2148,61873
1023,Choctaw County,AL,740,0.351758794,1990,44483
1025,Clarke County,AL,740,1.893129771,3275,49167
1027,Clay County,AL,740,16.98546289,1307,51852
1029,Cleburne County,AL,741,22.31075697,1004,53319
1031,Coffee County,AL,803,21.61627578,3539,64672
1033,Colbert County,AL,811,6.158038147,3670,56736
1035,Conecuh County,AL,740,7.776617954,1916,42266
1037,Coosa County,AL,766,0.543183053,1841,57063
1039,Covington County,AL,740,2.798373595,4181,50886
1041,Crenshaw County,AL,740,6.590450572,1487,49040
1043,Cullman County,AL,815,6.646646647,4995,60916
1045,Dale County,AL,740,16.04584527,3141,53955
1047,Dallas County,AL,790,11.71808661,3533,36810
1049,DeKalb County,AL,740,6.745465661,4907,51149
1051,Elmore County,AL,977,13.36698859,4556,75553
1053,Escambia County,AL,740,2.31271996,3978,44447
1055,Etowah County,AL,769,7.121412273,8327,53070
1057,Fayette County,AL,740,8.986834574,1747,50733
1059,Franklin County,AL,740,7.209106239,2372,51493
1061,Geneva County,AL,761,6.184538653,2005,50951
1063,Greene County,AL,794,2.948402948,1221,31495
1065,Hale County,AL,1018,1.064368981,1973,41325
1067,Henry County,AL,740,6.201864613,2467,60135
1069,Houston County,AL,761,20.20019463,7193,57531
1071,Jackson County,AL,740,2.409304902,3611,49454
1073,Jefferson County,AL,1075,18.63355566,40631,64589
1075,Lamar County,AL,740,12.12264151,2120,47447
1077,Lauderdale County,AL,811,13.06440903,6024,59082
1079,Lawrence County,AL,795,1.473296501,2172,60040
1081,Lee County,AL,992,18.23314166,9565,61123
1083,Limestone County,AL,1029,18.92671668,3466,83534
1085,Lowndes County,AL,977,7.507507508,666,35160
1087,Macon County,AL,772,4.894548349,2513,45951
1089,Madison County,AL,1029,25.76797386,12240,83528
1091,Marengo County,AL,740,3.420342034,2222,44205
1093,Marion County,AL,740,8.957952468,3282,50714
